	LogPcg	LogPcw	LogKow	LogB 
phtalimide	8.95	1.37	1.15	-999
benzoic	5.7	0.6	1.87	3.23
2methylbenzoic	6.06	1.76	2.46	-999
4methylbenzoic	6.66	1.36	2.34	3.64
4ethylbenzoic	6.75	1.85	-999	4.4
4butylbenzoic	7.75	2.86	-999	-999
2chlorobenzoic	6.4	0.9	1.98	-999
2bromobenzoic	7.09	0.91	-999	-999
2iodobenzoic	8.12	1.09	2.4	-999
4chlorobenzoic	6.52	1.72	2.65	3.84
3bromobenzoic	7.21	2.04	2.87	3.96
4bromobenzoic	6.35	1.49	2.86	3.98
2methoxybenzoic	8.45	1.65	1.59	-999
2nitrobenzoic	8.01	-0.08	-999	-999
3nitrobenzoic	7.33	0.48	1.83	3.45
4nitrobenzoic	7.78	0.88	1.89	3.49
4aminobenzoic	8.51	-0.92	0.68	-999
phenylacetic	6.7	0.49	1.41	-999
3-phenylpropanoic	7.8	1.2	1.84	-999
4phenylbutanoic	8	1.78	2.42	-999
phenol	5.17	0.32	1.48	2.96
2methylphenol	5.54	1.23	1.96	3.08
3methylphenol	5.49	0.89	2.01	3.14
4methylphenol	5.56	1.06	1.92	3.14
24dimethylphenol	5.91	1.5	2.35	3.56
25dimethylphenol	5.93	1.59	2.34	3.56
35dimethylphenol	6.2	1.6	2.35	3.56
2ethylphenol	6.15	1.73	2.47	-999
3ethylphenol	6	1.41	2.5	-999
4ethylphenol	5.97	1.47	2.5	3.6
2isopropyl5methylphenol	7.06	2.8	3.3	-999
2fluorophenol	4.45	0.57	1.64	-999
3chlorophenol	5.87	1.02	2.47	-999
4chlorophenol	6.23	1.07	2.44	3.24
2bromophenol	5.37	1.64	2.33	-999
4bromophenol	6.3	1.07	2.59	3.54
2iodophenol	6.52	1.97	2.64	-999
4iodophenol	7.14	1.56	2.91	3.91
24dichlorophenol	5.74	2.09	3.08	4.09
2methoxyphenol	5.79	1.7	1.32	-999
3methoxyphenol	6.39	0.77	1.58	-999
4methoxyphenol	6.61	0.46	1.34	2.93
2hydroxybenzaldehyde	5.69	2.21	1.7	-999
4hydroxyacetophenone	8.1	0.08	1.45	-999
2nitrophenol	5.89	2.53	1.75	-999
3nitrophenol	7.56	0.5	2	-999
4nitrophenol	8.01	0.2	1.91	2.96
24dinitrophenol	7.83	2.25	1.51	-999
2hydroxybenzoic	5.97	0.58	2.21	3.26
resorcinol	7.01	-1.34	0.77	-999
methyl4hydroxybenzoate	8.09	1.23	1.94	3.33
ethyl4hydroxybenzoate	8.45	1.78	2.47	3.6
ethyl2hydroxybenzoate	6.71	3.91	2.54	-999
2hydroxybenzamide	8.22	0.62	1.28	-999
4hydroxy3methoxybenzaldehyde	7.84	1.42	1.21	-999
4hydroxypropiophenone	8.51	0.71	2.03	-999
4hydroxyacetanilide	9.3	-1.6	0.8	-999
1naphtol	7.13	1.5	2.84	4.01
2naphtol	7.69	1.74	2.7	-999
benzylalcohol	5.82	0.96	1.1	2.86
2hydroxybenzylalcohol	6.96	-0.51	0.73	-999
2phenylethanol	6.29	1.31	1.36	-999
ephedrin	8.02	1.1	0.93	-999
methylphenylsulfoxide	9.41	1.41	0.55	-999
diphenylsulfoxide	10.73	3.36	2.06	-999
methylphenylsulfone	9.01	1.93	0.5	-999
phenylthiourea	8.12	0.56	0.73	-999
benzenesulfonamide	8.71	-0.24	0.21	-999
nmethylbenzenesulfonamide	8.82	1.31	-999	-999
nndimethylbenzenesulfonamide	9.16	2.69	1.35	-999
